opratDate,areaSdNm,areaSggNm,areaEmdNm,netInflow,floatingPop,numClosures,time,treatment
2023-02-10,부산광역시,남구,대연동,-265.0,3165.0,0,0,0
2023-02-10,부산광역시,부산진구,부전동,634.0,6356.0,3,0,0
2023-02-10,부산광역시,부산진구,전포동,-120.0,3096.0,1,0,0
2023-02-10,부산광역시,사상구,괘법동,108.0,1324.0,0,0,0
2023-02-10,부산광역시,사하구,하단동,-71.0,1605.0,0,0,0
2023-02-10,부산광역시,연제구,연산동,-450.0,4866.0,0,0,0
2023-02-10,부산광역시,해운대구,좌동,133.0,2749.0,0,0,0
2023-02-10,부산광역시,해운대구,중동,31.0,2049.0,0,0,0
2023-02-11,부산광역시,남구,대연동,-205.0,2639.0,0,0,0
2023-02-11,부산광역시,부산진구,부전동,610.0,6182.0,0,0,0
2023-02-11,부산광역시,부산진구,전포동,-139.0,1981.0,0,0,0
2023-02-11,부산광역시,사상구,괘법동,94.0,1206.0,0,0,0
2023-02-11,부산광역시,사하구,하단동,-95.0,1671.0,0,0,0
2023-02-11,부산광역시,연제구,연산동,-406.0,4382.0,0,0,0
2023-02-11,부산광역시,해운대구,좌동,111.0,2513.0,0,0,0
2023-02-11,부산광역시,해운대구,중동,30.0,1858.0,0,0,0
2023-02-12,부산광역시,남구,대연동,-99.0,1703.0,0,0,0
2023-02-12,부산광역시,부산진구,부전동,512.0,4192.0,0,0,0
2023-02-12,부산광역시,부산진구,전포동,-114.0,1360.0,0,0,0
2023-02-12,부산광역시,사상구,괘법동,36.0,912.0,0,0,0
2023-02-12,부산광역시,사하구,하단동,-63.0,1227.0,0,0,0
2023-02-12,부산광역시,연제구,연산동,-390.0,3050.0,0,0,0
2023-02-12,부산광역시,해운대구,좌동,109.0,1753.0,0,0,0
2023-02-12,부산광역시,해운대구,중동,9.0,1379.0,0,0,0
2023-02-13,부산광역시,남구,대연동,-122.0,3008.0,0,0,0
2023-02-13,부산광역시,부산진구,부전동,573.0,6001.0,0,0,0
2023-02-13,부산광역시,부산진구,전포동,-46.0,3186.0,0,0,0
2023-02-13,부산광역시,사상구,괘법동,54.0,1278.0,0,0,0
2023-02-13,부산광역시,사하구,하단동,-112.0,1492.0,2,0,0
2023-02-13,부산광역시,연제구,연산동,-483.0,4625.0,1,0,0
2023-02-13,부산광역시,해운대구,좌동,196.0,2628.0,0,0,0
2023-02-13,부산광역시,해운대구,중동,-60.0,2000.0,0,0,0
2023-02-14,부산광역시,남구,대연동,-204.0,3168.0,1,0,0
2023-02-14,부산광역시,부산진구,부전동,508.0,6562.0,0,0,0
2023-02-14,부산광역시,부산진구,전포동,-129.0,3333.0,1,0,0
2023-02-14,부산광역시,사상구,괘법동,164.0,1376.0,0,0,0
2023-02-14,부산광역시,사하구,하단동,-47.0,1685.0,0,0,0
2023-02-14,부산광역시,연제구,연산동,-425.0,4799.0,0,0,0
2023-02-14,부산광역시,해운대구,좌동,160.0,2956.0,0,0,0
2023-02-14,부산광역시,해운대구,중동,-27.0,2219.0,1,0,0
2023-02-15,부산광역시,남구,대연동,-134.0,3262.0,0,0,0
2023-02-15,부산광역시,부산진구,부전동,581.0,6635.0,1,0,0
2023-02-15,부산광역시,부산진구,전포동,-38.0,3492.0,1,0,0
2023-02-15,부산광역시,사상구,괘법동,83.0,1363.0,0,0,0
2023-02-15,부산광역시,사하구,하단동,-144.0,1722.0,0,0,0
2023-02-15,부산광역시,연제구,연산동,-475.0,4887.0,0,0,0
2023-02-15,부산광역시,해운대구,좌동,128.0,2830.0,0,0,0
2023-02-15,부산광역시,해운대구,중동,-1.0,2127.0,0,0,0
2023-02-16,부산광역시,남구,대연동,-207.0,3241.0,0,0,0
2023-02-16,부산광역시,부산진구,부전동,604.0,6528.0,0,0,0
2023-02-16,부산광역시,부산진구,전포동,-86.0,3270.0,0,0,0
